,precision,recall,f1-score,support
0,0.9881656804733728,0.7292576419213974,0.8391959798994975,229.0
1,0.06060606060606061,0.6666666666666666,0.1111111111111111,6.0
accuracy,0.7276595744680852,0.7276595744680852,0.7276595744680852,0.7276595744680852
macro avg,0.5243858705397167,0.697962154294032,0.4751535455053043,235.0
weighted avg,0.9644833072001648,0.7276595744680852,0.820606578994262,235.0
