,precision,recall,f1-score,support
0,0.9743589743589743,0.9956331877729258,0.9848812095032398,229.0
1,0.0,0.0,0.0,6.0
accuracy,0.9702127659574468,0.9702127659574468,0.9702127659574468,0.9702127659574468
macro avg,0.48717948717948717,0.4978165938864629,0.4924406047516199,235.0
weighted avg,0.949481723949809,0.9702127659574468,0.9597353062818804,235.0
