Threshold,Precision,Recall,F1_score,ROC_AUC
0.5,0.0,0.0,0.0,0.8951965065502183
0.3,0.5,0.16666666666666666,0.25,0.8951965065502183
0.2,0.2857142857142857,0.3333333333333333,0.3076923076923077,0.8951965065502183
0.1,0.18181818181818182,0.3333333333333333,0.23529411764705882,0.8951965065502183
