Variable,Importancia
Potasio_mmol_L,0.14840620810962268
Sodio_mmol_L,0.14989472719335906
BaselineCreatinina,0.26286773075053466
Sexo,0.03291650240129176
EdadAproxIngreso,0.18812828700628723
Edad_ge_65,0.024025508065230673
AINE,0.0263902771503813
IECA,0.03357598977437273
ARAII,0.012333276018105471
DIURETICO,0.03686092123594631
VANCOMICINA,0.0019193655852430046
AMINOGLUCOSIDO,0.0005611374047579272
N_Farmacos_Riesgo,0.08212006930486708
