Variable,Coeficiente,Abs_Coeficiente,Odds_Ratio,Importancia
Potasio_mmol_L,-0.17302453295436535,0.17302453295436535,0.8411169795070271,0.14840620810962268
Sodio_mmol_L,-0.019376024377541153,0.019376024377541153,0.9808104842417692,0.14989472719335906
BaselineCreatinina,0.6848964336171967,0.6848964336171967,1.983566394102443,0.26286773075053466
Sexo,-0.9559545013103211,0.9559545013103211,0.3844450160969448,0.03291650240129176
EdadAproxIngreso,0.07783927135765928,0.07783927135765928,1.0809489052569003,0.18812828700628723
Edad_ge_65,-0.6468884548921544,0.6468884548921544,0.5236726755156016,0.024025508065230673
AINE,1.317561223734848,1.317561223734848,3.7343031332533965,0.0263902771503813
IECA,1.4152632607004196,1.4152632607004196,4.117570317745088,0.03357598977437273
ARAII,-0.27823406839892934,0.27823406839892934,0.7571195830035858,0.012333276018105471
DIURETICO,0.14271174651059196,0.14271174651059196,1.1533972829519883,0.03686092123594631
VANCOMICINA,-1.2519694538175514,1.2519694538175514,0.28594109416967994,0.0019193655852430046
AMINOGLUCOSIDO,-0.9112354849940052,0.9112354849940052,0.4020272184797907,0.0005611374047579272
N_Farmacos_Riesgo,0.43409722373599663,0.43409722373599663,1.543568932359838,0.08212006930486708
